NHS_Region,Data_Source,18/03/2020 00:00,19/03/2020 00:00,20/03/2020 00:00,21/03/2020 00:00,22/03/2020 00:00,23/03/2020 00:00,24/03/2020 00:00,25/03/2020 00:00,26/03/2020 00:00,27/03/2020 00:00,28/03/2020 00:00,29/03/2020 00:00,30/03/2020 00:00,31/03/2020 00:00,01/04/2020 00:00,02/04/2020 00:00,03/04/2020 00:00,04/04/2020 00:00,05/04/2020 00:00,06/04/2020 00:00,07/04/2020 00:00,08/04/2020 00:00,09/04/2020 00:00,10/04/2020 00:00,11/04/2020 00:00,12/04/2020 00:00,13/04/2020 00:00,14/04/2020 00:00,15/04/2020 00:00,16/04/2020 00:00,17/04/2020 00:00,18/04/2020 00:00,19/04/2020 00:00,20/04/2020 00:00,21/04/2020 00:00,22/04/2020 00:00,23/04/2020 00:00,24/04/2020 00:00,25/04/2020 00:00,26/04/2020 00:00,27/04/2020 00:00,28/04/2020 00:00,29/04/2020 00:00,30/04/2020 00:00,01/05/2020 00:00,02/05/2020 00:00,03/05/2020 00:00,04/05/2020 00:00,05/05/2020 00:00,06/05/2020 00:00,07/05/2020 00:00,08/05/2020 00:00,09/05/2020 00:00,10/05/2020 00:00,11/05/2020 00:00,12/05/2020 00:00,13/05/2020 00:00,14/05/2020 00:00,15/05/2020 00:00,16/05/2020 00:00,17/05/2020 00:00,18/05/2020 00:00,19/05/2020 00:00,20/05/2020 00:00,21/05/2020 00:00,22/05/2020 00:00,23/05/2020 00:00,24/05/2020 00:00,25/05/2020 00:00,26/05/2020 00:00,27/05/2020 00:00,28/05/2020 00:00,29/05/2020 00:00,30/05/2020 00:00,31/05/2020 00:00,01/06/2020 00:00,02/06/2020 00:00,03/06/2020 00:00,04/06/2020 00:00,05/06/2020 00:00,06/06/2020 00:00,07/06/2020 00:00,08/06/2020 00:00,09/06/2020 00:00,10/06/2020 00:00,11/06/2020 00:00,12/06/2020 00:00,13/06/2020 00:00,14/06/2020 00:00,15/06/2020 00:00,16/06/2020 00:00,17/06/2020 00:00,18/06/2020 00:00,19/06/2020 00:00,20/06/2020 00:00,21/06/2020 00:00,22/06/2020 00:00,23/06/2020 00:00,24/06/2020 00:00,25/06/2020 00:00,26/06/2020 00:00,27/06/2020 00:00,28/06/2020 00:00,29/06/2020 00:00,30/06/2020 00:00,01/07/2020 00:00,02/07/2020 00:00,03/07/2020 00:00,04/07/2020 00:00,05/07/2020 00:00,06/07/2020 00:00,07/07/2020 00:00,08/07/2020 00:00,09/07/2020 00:00,10/07/2020 00:00,11/07/2020 00:00,12/07/2020 00:00,13/07/2020 00:00,14/07/2020 00:00,15/07/2020 00:00,16/07/2020 00:00,17/07/2020 00:00,18/07/2020 00:00,19/07/2020 00:00,20/07/2020 00:00,21/07/2020 00:00,22/07/2020 00:00,23/07/2020 00:00,24/07/2020 00:00,25/07/2020 00:00,26/07/2020 00:00,27/07/2020 00:00,28/07/2020 00:00,29/07/2020 00:00,30/07/2020 00:00,31/07/2020 00:00,01/08/2020 00:00,02/08/2020 00:00,03/08/2020 00:00,04/08/2020 00:00,05/08/2020 00:00,06/08/2020 00:00,07/08/2020 00:00,08/08/2020 00:00,09/08/2020 00:00,10/08/2020 00:00,11/08/2020 00:00,12/08/2020 00:00,13/08/2020 00:00,14/08/2020 00:00,15/08/2020 00:00,16/08/2020 00:00,17/08/2020 00:00,18/08/2020 00:00,19/08/2020 00:00,20/08/2020 00:00,21/08/2020 00:00,22/08/2020 00:00,23/08/2020 00:00,24/08/2020 00:00,25/08/2020 00:00,26/08/2020 00:00,27/08/2020 00:00,28/08/2020 00:00,29/08/2020 00:00,30/08/2020 00:00,31/08/2020 00:00,01/09/2020 00:00,02/09/2020 00:00,03/09/2020 00:00,04/09/2020 00:00,05/09/2020 00:00,06/09/2020 00:00,07/09/2020 00:00,08/09/2020 00:00,09/09/2020 00:00,10/09/2020 00:00,11/09/2020 00:00,12/09/2020 00:00,13/09/2020 00:00,14/09/2020 00:00,15/09/2020 00:00,16/09/2020 00:00,17/09/2020 00:00,18/09/2020 00:00,19/09/2020 00:00,20/09/2020 00:00,21/09/2020 00:00,22/09/2020 00:00,23/09/2020 00:00,24/09/2020 00:00,25/09/2020 00:00,26/09/2020 00:00,27/09/2020 00:00,28/09/2020 00:00,29/09/2020 00:00,30/09/2020 00:00,01/10/2020 00:00,02/10/2020 00:00,03/10/2020 00:00,04/10/2020 00:00,05/10/2020 00:00,06/10/2020 00:00,07/10/2020 00:00,08/10/2020 00:00,09/10/2020 00:00,10/10/2020 00:00,11/10/2020 00:00,12/10/2020 00:00,13/10/2020 00:00,14/10/2020 00:00,15/10/2020 00:00,16/10/2020 00:00,17/10/2020 00:00,18/10/2020 00:00,19/10/2020 00:00,20/10/2020 00:00,21/10/2020 00:00,22/10/2020 00:00,23/10/2020 00:00,24/10/2020 00:00,25/10/2020 00:00,26/10/2020 00:00,27/10/2020 00:00,28/10/2020 00:00,29/10/2020 00:00,30/10/2020 00:00,31/10/2020 00:00,01/11/2020 00:00,02/11/2020 00:00,03/11/2020 00:00,04/11/2020 00:00,05/11/2020 00:00,06/11/2020 00:00,07/11/2020 00:00,08/11/2020 00:00,09/11/2020 00:00,10/11/2020 00:00,11/11/2020 00:00,12/11/2020 00:00,13/11/2020 00:00,14/11/2020 00:00,15/11/2020 00:00,16/11/2020 00:00,17/11/2020 00:00,18/11/2020 00:00,19/11/2020 00:00,20/11/2020 00:00,21/11/2020 00:00,22/11/2020 00:00,23/11/2020 00:00,24/11/2020 00:00,25/11/2020 00:00,26/11/2020 00:00,27/11/2020 00:00,28/11/2020 00:00,29/11/2020 00:00,30/11/2020 00:00
East_of_England,calls_111,10257,13162,11533,9777,11138,14576,12517,12050,10104,10679,9091,8547,9900,7528,8372,6945,6294,4469,4746,8100,6226,4868,3548,2816,2379,2385,3333,3551,2925,2572,2338,1862,1794,2559,2069,1826,1872,1900,1484,1435,2125,2064,2202,1843,1628,1278,1540,2046,1785,1362,1118,951,842,1160,1496,1418,1342,1155,1041,935,947,1719,1461,1065,890,805,641,654,592,787,786,771,662,519,587,901,702,805,887,777,646,729,951,800,804,723,457,343,385,458,406,504,461,374,280,281,362,299,306,239,217,267,295,451,452,374,285,267,250,235,360,386,373,348,294,215,221,377,348,295,334,283,193,252,319,346,331,302,271,220,199,336,312,293,244,256,203,276,359,360,321,285,201,212,241,306,237,233,271,298,289,323,347,318,339,292,237,253,315,397,399,388,392,376,340,348,444,576,577,626,550,568,871,1305,1254,1436,1666,1606,1577,2298,3452,2474,1920,1818,1404,1164,1504,1898,1697,1474,1115,830,664,818,960,788,691,606,582,570,627,797,698,603,564,446,448,500,670,579,559,482,473,405,508,602,520,543,491,394,316,345,446,448,352,424,337,314,432,607,488,476,461,392,361,450,573,447,456,484,399,336,432,594,501,518,414,347,331,348,449,354,365,328,313,304,379,400
London,calls_111,9079,10948,10335,8792,9868,11984,10735,10217,8779,8885,7762,7271,8200,6501,11804,10239,8818,6809,6822,10767,8106,6800,5137,3734,3332,3331,3894,4069,3583,3101,2803,2094,1992,2865,2226,2046,2054,2067,1597,1539,2319,2089,2209,1877,1609,1327,1454,1924,1678,1348,1322,1024,981,1165,1508,1441,1391,1264,1114,958,910,2077,1616,1274,1088,924,700,724,737,980,925,1010,835,587,686,1071,912,1072,973,855,832,828,1155,904,916,868,595,428,479,650,591,538,532,471,354,341,467,444,389,305,329,306,348,555,523,471,418,355,356,303,503,498,529,495,383,295,349,543,510,464,472,363,350,363,454,407,471,471,326,294,313,430,407,340,353,281,236,340,464,382,384,374,278,233,305,372,304,293,319,302,278,323,428,365,375,365,346,267,322,461,503,432,485,394,356,403,464,687,651,704,562,556,645,1161,1112,1316,1476,1663,1492,2186,3514,2760,2286,2172,1695,1500,1844,2537,2025,1825,1468,1104,873,970,1302,1224,971,817,752,610,697,1068,1206,880,954,663,579,594,862,768,672,713,706,543,581,883,883,763,636,677,514,473,566,678,582,555,490,420,505,720,634,630,555,505,454,546,735,602,610,561,608,410,510,706,555,541,485,443,362,416,593,450,490,426,349,354,427,540
Midlands,calls_111,14539,17124,15414,13240,15357,20184,16838,14944,12955,13319,11847,10916,13095,9552,13290,11001,9455,7324,8083,12548,9131,7448,5643,4310,3683,3891,5076,5430,4324,3695,3445,3082,2886,3914,3016,2937,2942,2924,2063,2424,3572,3275,3545,2888,2568,2002,2418,3189,2612,2001,1814,1442,1291,1812,2492,2265,2289,1861,1682,1492,1417,3039,2461,1681,1493,1335,1182,1118,1078,1416,1220,1254,1089,777,991,1446,1139,1447,1351,1273,1118,1150,1576,1302,1369,1170,897,573,905,1023,1063,1027,747,631,526,593,658,602,407,380,342,454,593,902,772,747,594,549,453,453,679,670,642,589,483,381,441,688,616,627,550,435,415,461,613,562,540,553,478,414,414,557,475,506,458,347,405,469,712,626,604,547,358,311,455,588,514,422,454,458,434,569,636,514,605,442,472,427,574,687,708,577,574,536,449,678,843,1046,1015,1025,925,1048,1629,2824,2916,2763,3397,3037,2775,4100,5995,4553,3553,3051,2256,1822,2270,2904,2413,2284,1840,1294,1108,1238,1528,1217,1156,968,1010,916,1077,1422,1170,1038,1050,838,819,895,1272,1010,1034,960,908,781,956,1201,1095,1153,905,860,782,858,977,882,967,940,855,730,945,1290,1049,916,968,872,773,1075,1375,1114,1123,1000,934,826,922,1279,1126,1004,921,732,691,793,883,626,766,631,544,524,623,743
North_East_and_Yorkshire,calls_111,12244,14292,12846,11220,12977,17056,14033,12198,10148,10749,9691,9033,10478,8193,10649,8617,7379,6101,6470,10013,7567,6008,5141,4085,3626,3572,4324,4528,3592,3299,3039,2718,2532,3450,2772,2444,2752,2540,1989,2335,3029,2953,3329,2650,2313,1821,2120,3084,2359,1885,1588,1237,1178,1588,2308,2047,2029,1752,1545,1379,1485,2950,2417,1639,1302,1213,944,1064,956,1286,1112,1081,761,679,761,1177,981,1281,1099,1053,879,1011,1318,1201,1041,1020,706,620,575,836,762,652,646,533,392,435,645,508,399,350,374,562,613,749,630,612,543,468,418,408,558,543,534,545,431,346,446,635,588,541,505,409,402,412,508,528,531,495,305,351,386,514,507,476,513,380,356,527,557,631,568,474,378,313,475,549,494,426,474,462,412,542,621,566,569,462,465,460,522,616,644,650,592,487,489,560,760,1004,972,959,894,931,1387,2342,2193,2177,2280,2217,2148,3215,4348,3353,2912,2460,2020,1765,2415,3047,2551,2443,1993,1451,1231,1391,1708,1331,1410,1133,1169,1118,1199,1683,1360,1135,1122,968,990,1017,1647,1124,1140,1096,900,810,958,1287,1248,1108,1042,867,742,898,1139,919,951,1050,931,723,946,1221,1043,1099,1027,850,793,983,1227,1082,984,952,928,812,857,1173,1040,946,817,683,589,608,770,587,635,614,535,474,530,714
North_West,calls_111,13006,15607,14414,12734,14396,19044,15962,14386,11618,12127,11283,10452,12690,9510,9884,8383,7096,5850,6147,9534,7057,5630,4895,3586,3091,3306,3889,4280,3402,3007,2613,2480,2257,3154,2310,2164,2411,2237,1725,2036,2812,2662,2716,2310,1969,1595,1802,2497,2003,1664,1415,1157,1013,1416,2087,1857,1643,1468,1388,1235,1175,2637,2176,1380,1172,1180,897,906,885,1229,1039,944,721,659,667,1042,953,1196,1070,991,874,889,1268,1071,1017,887,678,517,626,751,815,662,585,447,401,392,571,447,364,318,319,377,500,688,616,494,431,392,341,360,497,607,544,485,356,303,335,622,558,584,532,446,402,395,559,521,519,472,381,389,386,546,506,482,585,407,414,509,646,693,559,501,382,322,393,515,403,342,351,321,322,424,533,462,437,365,356,321,407,490,509,406,419,346,426,441,606,783,786,812,701,754,1117,1863,1799,1747,2039,1911,1816,2803,3953,2963,2294,2129,1610,1472,1796,2386,2117,1932,1634,1160,1033,1142,1480,1190,1116,1029,981,973,1141,1363,1187,1004,981,771,820,927,1297,1156,1089,938,902,841,958,1209,1179,984,927,827,807,829,944,918,807,833,823,625,798,951,824,785,692,648,556,677,867,730,695,650,571,554,627,722,650,603,537,423,460,442,554,447,456,391,342,357,408,478
South_East,calls_111,9059,11257,9826,8123,9397,11102,9205,8716,7417,7502,6610,6078,6663,5224,9462,8356,7279,5481,5750,9629,7206,6011,4297,3295,2930,2946,3688,4094,3429,3261,2809,2438,2247,2982,2282,2162,2223,2349,1814,1811,2489,2635,2729,2210,1927,1573,1806,2374,2085,1605,1413,1190,1040,1448,1886,1661,1711,1471,1330,1100,1170,2179,1834,1339,1147,1027,855,819,823,1040,1044,991,790,695,743,1153,886,1174,1113,1153,1016,970,1309,1049,1036,908,721,526,554,718,685,581,548,440,397,411,490,410,343,289,283,358,409,560,537,512,473,373,339,369,469,483,528,487,369,313,362,508,587,505,487,364,278,425,464,459,472,414,354,337,373,485,489,406,407,357,330,416,510,483,510,434,294,283,350,395,360,345,386,388,366,404,464,431,444,379,335,348,409,581,560,486,536,501,467,506,671,854,861,901,674,785,1090,1739,1815,2020,2284,2195,2077,3233,4575,3530,2865,2424,1790,1666,2016,2617,2129,1984,1483,1080,909,1079,1348,1062,899,807,795,714,839,1056,966,836,784,578,578,671,944,775,721,698,604,537,677,834,750,743,682,573,493,510,569,627,545,641,559,473,676,838,658,665,613,581,551,682,867,729,728,650,615,519,606,828,740,729,657,512,498,548,679,516,548,521,462,447,551,659
South_West,calls_111,8509,10559,9206,7608,8400,10484,8436,8080,6616,6907,6042,5680,6419,4783,5670,4804,4029,3107,3538,5451,4289,3598,2382,1881,1742,1786,2169,2395,1972,1866,1743,1502,1386,1751,1388,1309,1346,1333,1131,1160,1641,1534,1711,1463,1282,997,1206,1634,1396,985,953,765,688,837,1214,1035,1149,982,819,753,746,1465,1210,856,772,667,488,443,512,654,614,642,527,384,515,712,643,804,737,700,611,645,794,709,625,616,461,334,341,443,466,484,360,270,223,242,315,243,232,167,207,222,248,366,343,276,259,237,238,241,318,305,351,338,222,204,198,333,350,299,289,223,194,250,292,296,262,255,232,203,233,323,248,242,233,221,204,275,359,355,327,295,187,168,234,337,278,231,262,283,238,275,329,283,296,266,223,263,289,378,387,345,364,343,359,366,472,653,614,600,468,502,735,1145,1170,1280,1508,1454,1412,2068,3143,2342,1831,1668,1214,1067,1377,1706,1418,1337,1084,755,646,844,920,758,621,585,558,500,579,667,603,671,535,477,377,462,618,584,503,520,503,380,454,612,572,516,501,461,360,378,475,494,488,392,435,354,413,598,496,512,432,500,387,516,594,504,510,475,390,388,439,561,520,481,408,344,311,344,422,343,342,304,264,209,289,366
East_of_England,nhs_online_111,2040,2025,1857,1960,1891,1840,1666,1741,1853,1649,1843,1773,1639,1514,1751,1526,1508,1532,1335,1437,1221,1106,1075,941,1228,1159,1258,1161,1093,1084,1023,1087,1036,986,877,863,784,782,852,772,884,791,841,923,781,881,903,924,777,706,626,655,736,663,761,623,591,520,511,553,524,592,563,389,270,181,229,224,226,164,165,159,148,184,211,204,153,182,208,190,250,215,198,195,205,183,196,234,169,202,188,217,201,112,160,179,163,126,125,133,109,169,165,179,185,119,140,126,164,131,125,139,141,121,125,150,145,139,149,136,156,158,199,149,140,126,121,138,105,184,143,126,116,124,111,89,137,140,148,153,125,135,111,152,133,126,146,167,143,184,242,187,217,174,179,143,133,180,163,198,157,151,173,177,240,214,262,259,259,250,220,279,375,492,543,561,675,557,682,843,1033,726,653,580,567,533,642,717,645,576,493,415,402,405,489,434,371,353,353,419,418,476,426,357,372,285,292,338,402,385,327,314,275,344,346,450,369,379,330,272,310,309,301,278,281,295,295,317,326,377,328,333,313,319,387,379,399,330,375,339,326,368,374,458,316,345,251,256,323,314,364,304,326,278,255,310,329,380
London,nhs_online_111,1542,1626,1329,1748,1730,1651,1397,1391,1503,1388,1730,1664,1272,1472,3004,2620,2437,2393,2358,2136,2355,2106,1814,1823,1759,1628,1534,1509,1266,1167,1107,1247,1098,1081,948,917,924,891,990,922,963,947,914,878,764,915,849,888,731,633,716,601,665,641,634,614,586,546,526,595,509,674,578,447,323,234,291,286,314,170,202,162,189,199,202,229,189,239,212,179,213,198,192,161,160,167,173,177,189,177,147,180,188,144,151,112,150,147,120,115,128,127,126,157,152,147,125,131,151,125,124,121,146,128,123,149,105,178,157,143,144,151,152,147,175,163,148,149,125,146,134,160,114,137,118,119,119,140,171,145,142,135,135,180,144,198,177,224,169,180,196,162,228,198,234,189,192,180,152,251,209,219,225,186,191,187,255,283,301,288,256,286,346,489,595,546,634,625,703,841,1129,1041,1015,872,802,730,806,1184,977,951,778,580,477,528,803,635,646,461,489,408,438,654,583,526,562,454,368,365,585,527,487,494,372,394,388,542,600,538,456,386,408,405,436,461,438,369,302,339,403,452,403,436,421,374,353,372,600,502,522,452,462,413,412,605,571,505,447,410,457,397,539,474,460,399,366,408,422,492
Midlands,nhs_online_111,2819,2716,2330,2974,3082,2685,2215,2303,2284,2107,2445,2283,2033,1841,2783,2207,2379,2343,2286,2188,2146,1986,1555,1826,2019,1898,1878,1789,1594,1520,1455,1688,1538,1563,1280,1216,1228,1257,1280,1215,1441,1261,1314,1340,1221,1354,1307,1508,1227,1053,1050,1059,1067,1110,1249,1130,1080,981,938,1056,995,1152,873,580,457,334,407,458,490,328,290,319,295,375,336,369,340,369,391,328,433,411,401,366,438,403,376,434,517,546,536,634,433,320,363,326,364,301,303,274,236,356,331,428,326,295,282,279,326,298,263,312,318,273,245,275,284,363,263,274,308,264,327,240,336,291,303,243,265,285,266,270,249,232,208,189,236,246,281,269,303,312,212,262,267,304,292,290,286,272,309,329,366,346,353,308,332,351,360,415,332,345,327,283,360,429,556,469,482,493,420,586,756,1092,1146,1085,1179,1104,1115,1381,1580,1340,1201,1031,820,931,996,1164,988,999,841,671,698,733,1037,800,842,812,709,811,750,1062,866,812,837,663,691,772,1046,920,861,814,640,768,729,1051,855,880,769,651,730,778,843,712,783,727,668,731,830,954,835,774,808,770,806,950,1202,924,891,804,735,887,883,1034,903,875,704,687,753,704,831,681,656,629,511,644,642,759
